survey_title,HC,OT,A,AB,SC,SP,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_FR1S_P3_202305_42,20.14285714,0.285714286,68.52380952,1.238095238,9.80952381,0.0,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,3,CB,86231,17885,202305
CBHE_FR1S_P4_202105_42,24.15789474,0.105263158,65.31578947,0.210526316,10.10526316,0.105263158,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,4,CB,84110,17885,202105
CBHE_FR1S_P4_202205_42,16.57142857,0.380952381,71.85714286,1.142857143,9.80952381,0.238095238,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,4,CB,84888,17885,202205
CBHE_FR1S_P4_202305_42,22.28571429,0.333333333,68.38095238,1.523809524,7.428571429,0.047619048,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,4,CB,86232,17885,202305
CBHE_FR2D_P1_202105_42,41.33333333,0.19047619,51.0952381,2.142857143,3.380952381,1.857142857,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,1,CB,84111,17885,202105
CBHE_FR2D_P1_202205_42,44.42857143,0.238095238,50.38095238,0.619047619,2.619047619,1.714285714,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,1,CB,84889,17885,202205
CBHE_FR2D_P1_202305_42,42.85714286,0.333333333,49.47619048,1.476190476,3.571428571,2.285714286,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,1,CB,86233,17885,202305
CBHE_FR2D_P2_202105_42,30.82926829,0.097560976,62.14634146,2.43902439,2.829268293,1.658536585,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,2,CB,84112,17885,202105
CBHE_FR2D_P2_202205_42,30.61904762,0.285714286,61.14285714,2.80952381,3.142857143,2.0,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,2,CB,84890,17885,202205
CBHE_FR2D_P2_202305_42,34.95238095,0.095238095,57.14285714,3.19047619,2.428571429,2.19047619,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,2,CB,86234,17885,202305
CBHE_FR2D_P3_202105_42,32.9047619,0.047619048,58.23809524,3.761904762,4.523809524,0.523809524,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,3,CB,84113,17885,202105
CBHE_FR2D_P3_202205_42,36.42857143,0.19047619,57.33333333,1.904761905,3.095238095,1.047619048,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,3,CB,84891,17885,202205
CBHE_FR2D_P3_202305_42,38.04761905,0.19047619,50.85714286,6.428571429,3.380952381,1.095238095,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,3,CB,86235,17885,202305
CBHE_FR2D_P4_202105_42,39.02439024,0.243902439,53.46341463,5.317073171,1.463414634,0.487804878,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,4,CB,84114,17885,202105
CBHE_FR2D_P4_202205_42,42.35897436,0.205128205,48.30769231,5.846153846,2.256410256,1.025641026,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,4,CB,84892,17885,202205
CBHE_FR2D_P4_202305_42,44.14285714,0.095238095,46.80952381,5.285714286,2.380952381,1.285714286,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,D,-23.44764618,151.9578134,4,CB,86236,17885,202305
CBHE_FR2S_P1_202105_42,22.66666667,0.238095238,71.71428571,0.523809524,4.285714286,0.571428571,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,1,CB,84115,17885,202105
CBHE_FR2S_P1_202205_42,20.42857143,0.333333333,74.14285714,0.666666667,4.428571429,0.0,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,1,CB,84893,17885,202205
CBHE_FR2S_P1_202305_42,26.9047619,0.476190476,67.52380952,0.80952381,4.047619048,0.238095238,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,1,CB,86237,17885,202305
CBHE_FR2S_P2_202105_42,17.71428571,0.142857143,76.9047619,1.523809524,3.714285714,0.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,2,CB,84116,17885,202105
CBHE_FR2S_P2_202205_42,20.04761905,0.142857143,74.33333333,1.238095238,3.952380952,0.285714286,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,2,CB,84894,17885,202205
