Site,Data_Source,ISO_Date,Year,Month,Day,Temperature
unitless,unitless,unitless,unitless,unitless,unitless,degrees Celsius (degC)
LTER2,LTER2,2005-09-15,2005,9,15,26.7
LTER2,LTER2,2005-09-16,2005,9,16,26.92
LTER2,LTER2,2005-09-17,2005,9,17,26.95
LTER2,LTER2,2005-09-18,2005,9,18,26.87
LTER2,LTER2,2005-09-19,2005,9,19,26.9
LTER2,LTER2,2005-09-20,2005,9,20,26.96
LTER2,LTER2,2005-09-21,2005,9,21,27.03
LTER2,LTER2,2005-09-22,2005,9,22,27.1
LTER2,LTER2,2005-09-23,2005,9,23,27.14
LTER2,LTER2,2005-09-24,2005,9,24,27.13
LTER2,LTER2,2005-09-25,2005,9,25,27.15
LTER2,LTER2,2005-09-26,2005,9,26,27.18
LTER2,LTER2,2005-09-27,2005,9,27,27.01
LTER2,LTER2,2005-09-28,2005,9,28,26.9
LTER2,LTER2,2005-09-29,2005,9,29,26.75
LTER2,LTER2,2005-09-30,2005,9,30,26.68
LTER2,LTER2,2005-10-01,2005,10,1,26.75
LTER2,LTER2,2005-10-02,2005,10,2,26.95
LTER2,LTER2,2005-10-03,2005,10,3,27
LTER2,LTER2,2005-10-04,2005,10,4,26.93
LTER2,LTER2,2005-10-05,2005,10,5,27.14
LTER2,LTER2,2005-10-06,2005,10,6,27.37
LTER2,LTER2,2005-10-07,2005,10,7,27.53
LTER2,LTER2,2005-10-08,2005,10,8,27.47
LTER2,LTER2,2005-10-09,2005,10,9,27.45
LTER2,LTER2,2005-10-10,2005,10,10,27.47
LTER2,LTER2,2005-10-11,2005,10,11,27.45
LTER2,LTER2,2005-10-12,2005,10,12,27.42
LTER2,LTER2,2005-10-13,2005,10,13,27.34
LTER2,LTER2,2005-10-14,2005,10,14,27.27
LTER2,LTER2,2005-10-15,2005,10,15,27.3
LTER2,LTER2,2005-10-16,2005,10,16,27.28
LTER2,LTER2,2005-10-17,2005,10,17,27.25
LTER2,LTER2,2005-10-18,2005,10,18,27.31
LTER2,LTER2,2005-10-19,2005,10,19,27.4
LTER2,LTER2,2005-10-20,2005,10,20,27.48
LTER2,LTER2,2005-10-21,2005,10,21,27.48
LTER2,LTER2,2005-10-22,2005,10,22,27.52
LTER2,LTER2,2005-10-23,2005,10,23,27.54
LTER2,LTER2,2005-10-24,2005,10,24,27.57
LTER2,LTER2,2005-10-25,2005,10,25,27.47
